filename,map,duration_s,players,shape,usable
lmctf-2022-01-13-smap30-21.16.dm2,smap30,186.0,10,client(human),False
lmctf-2022-01-13-smap30-21.19.dm2,smap30,1151.2,10,client(human),True
lmctf-2022-02-08-lmctf01-20.32.dm2,lmctf01,4.0,0,client(human),False
lmctf-2022-02-08-lmctf01-21.18.dm2,lmctf01,0.9,0,client(human),False
lmctf-2022-02-08-lmctf09-20.44.dm2,lmctf09,96.3,7,client(human),False
lmctf-2022-02-08-lmctf11-20.46.dm2,lmctf11,92.7,0,client(human),False
lmctf-2022-02-08-lmctf14-20.13.dm2,lmctf14,47.1,6,client(human),False
lmctf-2022-02-08-lmctf15-20.32.dm2,lmctf15,232.8,0,client(human),False
lmctf-2022-02-08-lmctf15-20.44.dm2,lmctf15,3.6,2,client(human),False
lmctf-2022-02-08-lmctf16-21.18.dm2,lmctf16,908.8,1,client(human),True
lmctf-2022-02-08-mactf06-20.01.dm2,mactf06,652.4,10,client(human),True
lmctf-2022-02-08-mactf06-20.12.dm2,mactf06,0.9,2,client(human),False
lmctf-2022-02-08-mactf06-20.13.dm2,mactf06,8.2,2,client(human),False
lmctf-2022-02-08-mactf06-20.14.dm2,mactf06,118.6,10,client(human),False
lmctf-2022-02-08-mactf06-20.18.dm2,mactf06,11.2,3,client(human),False
lmctf-2022-02-08-mactf06-20.20.dm2,mactf06,115.3,10,client(human),False
lmctf-2022-02-08-mactf06-20.37.dm2,mactf06,383.1,10,client(human),True
lmctf-2022-02-15-lmctf01-20.21.dm2,lmctf01,0.5,0,client(human),False
lmctf-2022-02-15-lmctf01-20.28.dm2,lmctf01,56.5,0,client(human),False
lmctf-2022-02-15-lmctf01-20.29.dm2,lmctf01,770.4,7,client(human),True
lmctf-2022-02-15-lmctf02c-20.21.dm2,lmctf02c,423.5,1,client(human),True
lmctf-2022-02-15-lmctf03-21.16.dm2,lmctf03,66.2,5,client(human),False
lmctf-2022-02-15-lmctf09-21.17.dm2,lmctf09,240.4,10,client(human),False
lmctf-2022-02-15-lmctf09-21.21.dm2,lmctf09,1362.5,10,client(human),True
lmctf-2022-02-15-mactf06-20.42.dm2,mactf06,762.9,10,client(human),True
lmctf-2022-02-15-mactf06-20.54.dm2,mactf06,1321.5,10,client(human),True
lmctf-2022-02-15-smap47-21.44.dm2,smap47,170.3,10,client(human),False
lmctf-2022-02-15-smap47-21.48.dm2,smap47,1134.6,3,client(human),True
lmctf-2022-02-17-lmctf13-20.38.dm2,lmctf13,16.5,4,client(human),False
lmctf-2022-02-17-lmctf14-21.08.dm2,lmctf14,32.6,4,client(human),False
lmctf-2022-02-17-lmctf48-20.24.dm2,lmctf48,831.3,8,client(human),True
lmctf-2022-02-17-lmctf48-20.40.dm2,lmctf48,316.8,10,client(human),True
lmctf-2022-02-17-lmctf48-20.45.dm2,lmctf48,1369.2,10,client(human),True
lmctf-2022-02-17-lmctf74-20.38.dm2,lmctf74,104.8,9,client(human),False
lmctf-2022-02-17-lmctf74-21.09.dm2,lmctf74,199.6,9,client(human),False
lmctf-2022-02-17-lmctf74-21.12.dm2,lmctf74,273.4,10,client(human),False
lmctf-2022-02-17-lmctf74-21.17.dm2,lmctf74,78.9,8,client(human),False
lmctf-2022-02-17-lmctf74-21.18.dm2,lmctf74,259.2,10,client(human),False
lmctf-2022-02-17-lmctf74-21.22.dm2,lmctf74,1244.9,9,client(human),True
lmctf-2022-02-23-LMCTF35-21.06.dm2,LMCTF35,372.4,4,client(human),True
lmctf-2022-02-23-lmctf39-20.45.dm2,lmctf39,347.3,4,client(human),True
lmctf-2022-02-23-smap33-20.51.dm2,smap33,852.9,6,client(human),True
lmctf-2022-03-21-lmctf01-20.33.dm2,lmctf01,393.6,9,client(human),True
lmctf-2022-03-21-lmctf09-20.33.dm2,lmctf09,1.8,1,client(human),False
